SampleID,histological_type,ANKS4B,MIA2,LRRC31,CLRN3,ARMC3,MS4A8B,TM4SF4,FOXA2,C10orf108,TOX3,ARHGEF38,VIL1,SERPINA4,EPS8L3,cg08839858,C1orf194,LOC285419,CCDC33,CCL15,CCDC108,C9orf171,ABCC6P1,FREM2,C2orf70,IYD,SLC6A20,RNF186,C4BPB,HGD,PCDP1,CDHR2,GJB1,CDHR5,PROM1,AQP2,SLC30A2,PPP1R9A,LOC100130933,TDGF1,DCDC2,GAL3ST1,BNC1,DNALI1,CLCA2,SLC3A1,PLCH1,HNF1A,SERPINB13,TP63,DSG3,GBP6,CALML3,DSC3,DNAH7,MIMAT0000266,CSTA,MIMAT0019731,GPR87,SOX15,GM2A,PLEKHB1,histological_type_y,PKP1,cg23889391,cg19691563,MIMAT0000728,cg17776267,cg25563233,cg09698548,cg03585419,cg08211306,MIMAT0000253,cg04006554,MIMAT0000088,MIMAT0000087,cg15961842,cg08345372,cg25379026,cg04076503,cg18115627,cg01814098,cg08273666,cg26082557,cg05963618,cg17900854,cg14114673,cg09644722,cg08967106,cg26058289,cg19908577
TCGA-C5-A3HF-01,1,0.8670046302227266,0.8662860043141734,0.9942975735593612,0.8225623839500023,0.4427426570331817,0.7811118400410737,0.598209058291925,0.6612573932092004,0.7049901694597884,0.8619605531402746,0.9107578706707448,0.8086396888600796,0.3894906016351059,0.8547134995407214,0.019,0.3073005093378608,0.742962856641628,0.432499306518724,0.7126333713747441,0.5351124886723315,0.2229062061729849,0.7110882906067505,0.7645129728946225,0.2570652509414161,0.6980961638536235,0.6875285146320798,0.5318663962524902,0.7691375215005324,0.7864342230539413,0.2966765495412476,0.6487666675330751,0.8635995052789358,0.7201078052297005,0.7923233146742176,0.5034919586948224,0.3658977248386525,0.7978246960972489,0.5710079925176431,0.2936060720642621,0.5788211640797203,0.7271165102965366,0.5849030470914128,0.617227587086082,0.6742897922572788,0.362240407945059,0.7753489464501409,0.8766383789205576,0.6437544843780576,0.5951813118445222,0.6940819881400803,0.576451780960741,0.6118353014040399,0.6409152211940339,0.5166948973110311,0.4596694437561821,0.6301393945165144,0.0488923408253179,0.6194137854257452,0.6610193554493398,0.2067846232179226,0.4216009815743267,0,0.6188599367569427,0.0136,0.0251,0.745007187639225,0.0688,0.0202,0.0145,0.0186,0.0177,0.7110476491805937,0.0122,0.627543904817158,0.6806137551615132,0.0362,0.0242,0.0177,0.0206,0.0334,0.0199,0.0163,0.0142,0.0168,0.0216,0.017,0.017,0.0133,0.9598,0.019
TCGA-Q1-A6DT-01,0,0.0,0.0,0.0,0.0,0.0577816687992457,0.0,0.0,0.0,0.0624785444558874,0.0,0.0,0.0,0.0,0.0,0.4554,0.0,0.0957848906750873,0.0,0.0,0.0,0.0,0.0,0.0544100594289027,0.4478671522933514,0.1325419501801722,0.1657840709118164,0.0,0.0,0.1107964805147903,0.0,0.1911383740978521,0.0,0.1105822793105708,0.1481252320257393,0.0,0.1504977788539445,0.1840011196417146,0.0,0.0553900637271629,0.0943843436718959,0.229501116491918,0.9315463581554506,0.2736319597157153,0.8799701447586374,0.1110252087017313,0.1706901758153267,0.2417869741127677,0.7333898636749071,0.9365630740060435,0.8015884494695734,0.2819134890558874,0.763410829160556,0.9594332946093552,0.0,0.9291630494102594,0.668624880053326,0.4232370835108826,0.9310728712745318,0.7866546779612891,0.7026052274270198,0.3841996149859322,1,0.8380743982494528,0.6262,0.5243,0.2983361537515044,0.0199,0.6494,0.5346,0.0155,0.4572,0.3655746963179243,0.5292,0.1765399757814947,0.2274642082747944,0.3607,0.4963,0.0157,0.6013,0.5345,0.0189,0.5729,0.629,0.014,0.4811,0.5718,0.4422,0.5937,0.6056,0.4673
TCGA-EA-A3HQ-01,0,0.0,0.0,0.0,0.066419093338164,0.488123298346209,0.0,0.0,0.0642541073384446,0.1266007136244005,0.023563317204169,0.0,0.0565870296632404,0.151585027834067,0.1366943317698892,0.0205,0.1215419954059722,0.0458989203068433,0.1350346740638003,0.0827038385594985,0.0,0.3422441572901388,0.0,0.0,0.0,0.0,0.0991494492602489,0.0,0.0432222131214677,0.0880774155422042,0.0288272767338435,0.0635337336140496,0.1842098796779398,0.0748001179631692,0.0664667302386862,0.0,0.0682920923475232,0.0527531190019193,0.0970474449451577,0.026542225009453,0.1243117616135904,0.0673846521415509,0.774531530063549,0.2702218185294961,0.799832391627438,0.0434017354114405,0.1828865252986176,0.3393515231429826,0.7919770399843454,0.8328494400663625,0.8471416084465768,0.8068883322271466,0.7922628820501435,0.9045921296852676,0.603482955748465,0.9082473054858302,0.6880360975395368,0.5191721522506308,0.9175387257864436,0.7628507879418864,0.7339188730482011,0.2435002432781198,1,0.902168055113662,0.6543,0.6517,0.4888618076623361,0.8139,0.0368,0.6108,0.6179,0.4703,0.561094359002217,0.6413,0.4387013607189884,0.4027321149814511,0.7448,0.6978,0.6891,0.6571,0.0285,0.6155,0.2773,0.018,0.7356,0.7176,0.0134,0.017,0.0267,0.5138,0.0278
TCGA-VS-A8Q8-01,0,0.0606504273347852,0.0,0.0,0.0,0.0,0.0,0.0,0.2192332968236582,0.0689490164258444,0.1194622520243329,0.0,0.0860573509892891,0.0,0.3383786244401272,0.2057,0.0,0.0,0.0,0.0600329692226871,0.0,0.0,0.0820053449470454,0.1321840121756776,0.0,0.1933488467996112,0.1414814573421104,0.0594791535796973,0.1612908510115488,0.1616271052890771,0.1117031932369085,0.1264176608703939,0.2367371343855711,0.2270872927452651,0.2665948448430232,0.5838843785138801,0.0,0.1458633237364043,0.2092934274296403,0.1028488162979221,0.1601601047690193,0.215515102505904,0.8764379990223237,0.2389887497211332,0.9290479713494436,0.2835793889048814,0.16517917058113,0.239995041191917,0.827499836931707,0.9202983350121466,0.9191311948586052,0.7203417046695356,0.8239545659045628,0.8864452723363913,0.1180605547321617,0.7481432065329947,0.8974574967586931,0.3877693225546356,0.8866217118865105,0.9881974350480336,0.8886201629327906,0.1743563707135453,1,0.8919803388113682,0.0115,0.0838,0.4837017175822767,0.0118,0.0148,0.1053,0.0183,0.3123,0.3102111205255708,0.0121,0.2526382065809451,0.4069157045645226,0.2878,0.2083,0.0128,0.0136,0.0174,0.0173,0.0124,0.0698,0.0174,0.0218,0.1811,0.0175,0.0178,0.5506,0.0142
TCGA-JX-A3Q8-01,1,0.038103255796929,0.0,0.0,0.0,0.167466784680065,0.0,0.055477159113086,0.3309967141292442,0.0768862674114991,0.0340923046692702,0.2453888219482806,0.0321326048708213,0.1233317028858919,0.180996431445549,0.0192,0.1875861380205732,0.2262092722836228,0.1931428571428571,0.037715341557524,0.0,0.0445791000674467,0.516542116203108,0.9173793303377302,0.0514105809000555,0.0,0.8109642833865607,0.0,0.2120894422147596,0.1164187924751305,0.0,0.036077248979804,0.6173119609465225,0.0341110164493086,0.3632340202508425,0.455976562097032,0.5799752274695698,0.8194177863083812,0.481315364339767,0.2388062454464129,0.9715943151739848,0.1841522472271486,0.0602167182662538,0.8210233610606494,0.0,0.1431673314964839,0.6599281975573749,0.3230663465981449,0.0799295544974235,0.1864667891212893,0.0464775535614345,0.1340484295715845,0.0243296776492997,0.0456408818384542,0.5464429388100783,0.4102000730054416,0.2090697998080853,0.0465199974993321,0.375640128502815,0.121300459041219,0.200165478615071,0.7451608808783399,0,0.0168496646299891,0.0137,0.0294,0.464887392794761,0.4228,0.0209,0.0167,0.0233,0.0232,0.8462726226881518,0.0128,0.9156130841056956,0.941265732035198,0.8831,0.0466,0.0124,0.2869,0.0172,0.0183,0.0212,0.0151,0.5565,0.8325,0.0162,0.0192,0.0133,0.9887,0.0143
TCGA-HM-A4S6-01,0,0.0,0.0649536860804466,0.0,0.0,0.0,0.0,0.0,0.0,0.0532513601514631,0.0,0.0,0.0,0.0,0.0,0.0392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463744745615306,0.0,0.0502616670103194,0.1623867561754546,0.0,0.0,0.0,0.0,0.0770150495152444,0.0,0.1348302641064289,0.0372624238409631,0.0,0.0827830913510342,0.2965151151631477,0.0544065130516112,0.0,0.081979913122873,0.0470396883011863,0.9726576503177448,0.190808554036396,0.9846271695790804,0.0976765225973598,0.2271926587035297,0.2513439496906379,0.815589328810906,0.917232031759199,0.9237846097734288,1.0,1.0,0.9181855813270308,0.2110099513021384,0.8856225808879001,0.7052131937679005,0.493171557929945,0.876355800120869,0.7407126969854716,0.8360913102511882,0.670305261153773,1,0.9176671493224422,0.0173,0.0818,0.3087940218028672,0.0964,0.0234,0.4317,0.3901,0.0186,0.3718341033402408,0.0166,0.3114231208114739,0.390158345098633,0.0212,0.0141,0.0236,0.0195,0.0223,0.1998,0.0178,0.017,0.1856,0.0269,0.1876,0.2309,0.0323,0.7504,0.0122
TCGA-C5-A8YT-01,0,0.0,0.824514655500571,0.407568322439242,0.0,0.573997286974592,0.6941726803388574,0.0354210139162025,0.7971347207009858,0.4433625648867667,0.4785776860789756,0.502023666079649,0.0638099206716671,0.3880464910441851,0.0383599281411814,0.0174,0.4002896234894637,0.4411910115943416,0.4940360610263523,0.0748962918681955,0.581395043406312,0.3961052169537615,0.1023087201821241,0.9275529062182926,0.4342119883943453,0.3900949463410802,0.3293358534836733,0.042347936895382,0.0910475878450323,0.7378361075544173,0.5388336872470852,0.1168958317088174,0.6728124564866613,0.1772970050462022,0.7709514693143685,0.1786624302381959,0.7716550099183251,0.9170865323096608,0.5866741773658702,0.4845016646530974,0.9851331285910596,0.5930823447249203,0.1763320840801694,0.6724750613506707,0.1567400171536694,0.4507957396060369,0.7816819889947657,0.5590492612502957,0.2493836018524558,0.2518812585175091,0.2241751193223621,0.1108470536179444,0.2523532126977079,0.2767762955841312,0.5561613381325429,0.2619032449246064,0.1606516309085182,0.1122798856002572,0.2796606126149051,0.3326581799252283,0.2316488458927359,0.6682849950286645,1,0.2230194339291859,0.0139,0.0196,0.5138480931567362,0.013,0.0215,0.0165,0.0202,0.0173,0.6007095405474476,0.016,0.6157701690166917,0.768717145387569,0.0239,0.0139,0.0137,0.0161,0.0139,0.0186,0.0157,0.0161,0.0154,0.0228,0.017,0.0131,0.0213,0.9921,0.0117
TCGA-C5-A7CH-01,0,0.1978459398620084,0.0,0.0,0.0,0.0,0.0,0.135123774638584,0.1153033953997809,0.0605020337255146,0.1077379051736136,0.0,0.0448806988301385,0.0451556300902957,0.0808736861785578,0.5329,0.0,0.0,0.0645325936199722,0.0,0.0,0.0,0.0,0.0526887954776054,0.0,0.0,0.0810548784461969,0.0,0.1474486034892292,0.0816589513772612,0.0,0.0,0.237384203327081,0.0476440133691591,0.0,0.0599977304847478,0.0541642996172364,0.0581413947536788,0.1677472153728424,0.0,0.0,0.2571790889793517,0.8833713540817989,0.2749067788507505,0.8819735885869173,0.1391043303039026,0.1323899476580324,0.208765820288287,0.721616332920227,0.8476624992593471,0.9216339774749563,0.7649031908136539,0.8086930101841087,0.9127508712895084,0.1393076434469617,0.8461055019897736,0.8358030750298494,0.6171733918714759,0.8961242405928942,0.9487577492783116,0.6774652070604212,0.2177656491294874,1,0.9473602192079684,0.5497,0.421,0.5012494990921514,0.4335,0.0983,0.4632,0.0303,0.1341,0.3444809367236894,0.2295,0.3779826702647355,0.4084897045488782,0.0799,0.733,0.3439,0.5777,0.616,0.2475,0.0335,0.1654,0.0238,0.7367,0.0288,0.5358,0.4254,0.4639,0.0199
TCGA-VS-A954-01,0,0.0547025127651397,0.0,0.0,0.0541460984556858,0.0,0.0,0.1651179199255401,0.0,0.0621872691903587,0.0489442356659216,0.0,0.0,0.046413403830775,0.0,0.2521,0.1017976630380505,0.0953383410682104,0.0,0.0,0.1338700568681788,0.0,0.073963179253687,0.0,0.1258472745231187,0.0,0.0830427556540441,0.0,0.1502825784257515,0.1505958829902491,0.0,0.088313016054549,0.1101655349785812,0.0834999016973589,0.0,0.0,0.3314117548450785,0.0,0.0,0.0,0.0940062160492119,0.0549332402157632,0.8655450545869318,0.2085046371546036,0.8187799943694063,0.1324669983961837,0.0855002684203462,0.3027465034768006,0.5301872024003652,0.8233246430052735,0.9032907189526044,0.6024221922481284,0.4160234649340633,0.9708501916169264,0.0,0.8393661362442295,0.6919036910613175,0.6296375032547381,0.8350933553866218,0.8264161658227249,0.6988501357773254,0.1036787882634173,1,0.9635865436435532,0.2793,0.6257,0.3762810958371548,0.7584,0.6525,0.115,0.4517,0.2995,0.1989577675853042,0.0127,0.3922430818895923,0.4345485840682865,0.0223,0.4273,0.0654,0.5832,0.5713,0.4756,0.6522,0.0143,0.5738,0.1078,0.7382,0.4248,0.745,0.4475,0.0146
TCGA-VS-A9UD-01,0,0.0,0.0,0.0881160657136761,0.0,0.0874132938244999,0.0,0.1630837824448681,0.0796144578313253,0.0945188236640347,0.0,0.3356350604010257,0.0701145167762447,0.0,0.0,0.4297,0.0907420353540397,0.0,0.1008155339805825,0.1685234498125102,0.0,0.0,0.0,0.1968310624728221,0.1121797641829742,0.0,0.2446718373199504,0.0,0.232287656646736,0.1527134836993992,0.2433190432308986,0.0,0.0,0.0,0.1354375186530496,0.09373097991479,0.3923465919144696,0.0908309341010876,0.1977510415780971,0.0837952246128874,0.2240360051277794,0.1996544848056017,0.565561349193417,0.2719109538834177,0.8812795851692778,0.1530287453222025,0.4451835324117568,0.3412110761740541,0.4560889700606614,0.7883139776026544,0.091917521364834,0.804554634922674,0.7650000876429311,0.6210124317322971,0.5001693838661867,0.8114197833399119,0.6756348933115538,0.0913076326629442,0.8319364483603168,0.8247409019923333,0.6299219280380177,0.4243828139874341,1,0.76605912641469,0.4919,0.2669,0.634737808562237,0.523,0.0251,0.47,0.3715,0.2741,0.2341609009043577,0.3978,0.247763016053383,0.3071312309987142,0.1735,0.4857,0.011,0.6319,0.5793,0.4992,0.0638,0.5758,0.0233,0.0893,0.6793,0.5941,0.6056,0.9048,0.0114
